id,title,assignee,inventor,priority,filing,publicationdate,grantdate,resultlink,url,
JP-6494703-B2,Histone variant-containing nucleosome detection method ,"ベルジアン ボリション エスピーアールエル, ベルジアン  ボリション  エスピーアールエル","ビンセント ミカレフ ジャコブ, ビンセント  ミカレフ ジャコブ",2011-09-01,2017-08-02,2019-04-03,2019-04-03,https://patents.google.com/patent/JP6494703B2/en,https://patentimages.storage.googleapis.com/1d/90/f3/c63d4b07c425d4/0006494703-5.png,
US-10253320-B2,Treatment of atonal homolog 1 (ATOH1) related diseases by inhibition of natural antisense transcript to ATOH1 ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman",2010-05-26,2018-04-09,2019-04-09,2019-04-09,https://patents.google.com/patent/US10253320B2/en,https://patentimages.storage.googleapis.com/2c/ff/74/3c7440f6b47973/US10253320-20190409-D00001.png,
US-10435690-B2,Treatment of alpha-L-iduronidase (IDUA) related diseases by inhibition of natural antisense transcript to IDUA ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman, Carlos COITO, Gang Shen",2010-10-22,2017-12-19,2019-10-08,2019-10-08,https://patents.google.com/patent/US10435690B2/en,https://patentimages.storage.googleapis.com/a9/4b/dc/d6c409ab291550/US10435690-20191008-D00001.png,
US-2023272347-A1,Differentiation Method ,Koninklijke Nederlandse Akademie Van Wetenschappen,"Johannes Carolus Clevers, Helmuth Gehart",2016-03-01,2023-01-23,2023-08-31,,https://patents.google.com/patent/US20230272347A1/en,https://patentimages.storage.googleapis.com/8b/a2/73/5b0eebf0d9d126/US20230272347A1-20230831-D00000.png,
US-10725021-B2,Muscle chips and methods of use thereof ,President And Fellows Of Harvard College,"Kevin Kit Parker, Josue A. Goss, Anna Grosberg, Patrick W. Alford, Adam W. Feinberg, Ashutosh Agarwal, Megan Laura McCain, Johan Ulrik Lind",2011-12-09,2017-09-01,2020-07-28,2020-07-28,https://patents.google.com/patent/US10725021B2/en,https://patentimages.storage.googleapis.com/34/52/30/a6786534bea3a1/US10725021-20200728-D00001.png,
JP-6568551-B2,System and method for determining personalized medical intervention for disease states ,"カリス エムピーアイ， インコーポレイテッド, カリス  エムピーアイ，  インコーポレイテッド","ディー． バン ホフ ダニエル, ディー．  バン  ホフ ダニエル, ペニー ロバート, ペニー ロバート",2006-05-18,2017-04-11,2019-08-28,2019-08-28,https://patents.google.com/patent/JP6568551B2/en,https://patentimages.storage.googleapis.com/23/0a/02/867fb3f83015f8/0006568551-3.png,
AU-2017281406-B2,Improved differentiation method ,Koninklijke Nederlandse Akademie Van Wetenschappen,"Joep BEUMER, Johannes Carolus Clevers",2016-06-20,2017-06-20,2022-07-14,2022-07-14,https://patents.google.com/patent/AU2017281406B2/en,,
US-10336826-B2,Antibodies to VLA-1 ,Biogen Ma Inc.,"Michael Karpusas, Paul D. Lyne, Ellen A. Garber Stark, Jose William Saldanha",2001-04-13,2017-03-27,2019-07-02,2019-07-02,https://patents.google.com/patent/US10336826B2/en,https://patentimages.storage.googleapis.com/86/f4/cb/f73854cbe6f044/US10336826-20190702-D00001.png,
US-10753925-B2,Devices comprising muscle thin films and uses thereof in high throughput assays for determining contractile function ,President And Fellows Of Harvard College,"Kevin Kit Parker, Adam W. Feinberg, Patrick W. Alford, Anna Grosberg, Mark Daniel Brigham, Josue A. Goss",2009-05-01,2017-07-28,2020-08-25,2020-08-25,https://patents.google.com/patent/US10753925B2/en,https://patentimages.storage.googleapis.com/42/aa/25/5fb26c416a2413/US10753925-20200825-D00001.png,
JP-6899509-B2,"Respiratory disease-related gene-specific siRNAs, double-helix oligo RNA structures containing such siRNAs and compositions for the prevention or treatment of respiratory diseases containing them. ","バイオニア コーポレーションＢｉｏｎｅｅｒ Ｃｏｒｐｏｒａｔｉｏｎ, バイオニア  コーポレーション","ジェウク チェ, ジェウク チェ, ハンオ パク, ハンオ パク, ピョンオ ユン, ピョンオ ユン, ボラム ハン, ボラム ハン, ミナ キム, ミナ キム",2013-07-05,2019-12-06,2021-07-07,2021-07-07,https://patents.google.com/patent/JP6899509B2/en,https://patentimages.storage.googleapis.com/36/8c/81/596668b52021eb/0006899509-14.png,
US-2021041427-A1,Methods and compositions for phototransfer ,"Ambergen, Inc.","Mark J. Lim, Kenneth J. Rothschild",2007-11-06,2020-07-23,2021-02-11,,https://patents.google.com/patent/US20210041427A1/en,https://patentimages.storage.googleapis.com/c1/89/68/1b1f9ad6f33686/US20210041427A1-20210211-D00001.png,
JP-7256218-B2,Stem cell culture method ,ザ スクリプス リサーチ インスティテュート,"ユエ スー, シェン ディン",2008-12-03,2021-03-25,2023-04-11,2023-04-11,https://patents.google.com/patent/JP7256218B2/en,https://patentimages.storage.googleapis.com/14/aa/27/33d3b98794390f/0007256218000059.png,
US-2020197391-A1,Compounds that participate in cooperative binding and uses thereof ,"Revolution Medicines, Inc.","Meizhong Jin, Nicholas Perl, Anna Kohlmann, Ning Yin, Jason T. LOWE, Jae Young Ahn, Mark Joseph Mulvihill, Elena S. Koltun, Adrian L. Gill",2018-12-21,2019-12-20,2020-06-25,,https://patents.google.com/patent/US20200197391A1/en,https://patentimages.storage.googleapis.com/7f/49/d3/bc53590e4d189f/US20200197391A1-20200625-D00000.png,
US-10004755-B2,Therapeutic uses of selected pyrrolopyrimidine compounds with anti-mer tyrosine kinase activity ,The University Of North Carolina At Chapel Hill,"Xiaodong Wang, Weihe Zhang, Stephen Frye",2014-04-11,2017-01-30,2018-06-26,2018-06-26,https://patents.google.com/patent/US10004755B2/en,https://patentimages.storage.googleapis.com/3f/f7/76/cc2fb8546636bd/US10004755-20180626-D00001.png,
JP-6951585-B2,"Community aggregation platform for personal, omics, and phenotype data ",ルナピービーシー,"カイン，ロバート・シー, バリー，ドーン・メアリー, ルイス，デービッド, ブルーム，ケネス・ロバート, カーン，スコット, ベリノフ，ボジル",2017-11-17,2018-11-16,2021-10-20,2021-10-20,https://patents.google.com/patent/JP6951585B2/en,https://patentimages.storage.googleapis.com/cf/77/3f/8dcc2ea6f504e1/0006951585-2.png,
US-11312756-B2,Engineered potent cytotoxic stapled BH3 peptides ,The Trustees Of Princeton University,"A. James Link, Siyan Zhang",2012-02-03,2019-05-03,2022-04-26,2022-04-26,https://patents.google.com/patent/US11312756B2/en,https://patentimages.storage.googleapis.com/88/13/ad/4ddbb42d905eec/US11312756-20220426-D00001.png,
US-2021117869-A1,Ensemble model creation and selection ,Benevolentai Technology Limited,"Dean PLUMBLEY, Matthew SELLWOOD, Marco Fiscato, Alain Claude VAUCHER",2018-03-29,2019-03-29,2021-04-22,,https://patents.google.com/patent/US20210117869A1/en,https://patentimages.storage.googleapis.com/f9/c1/ea/72e5d98da6d7d0/US20210117869A1-20210422-D00000.png,
JP-6759293-B2,Methods and compositions for producing pancreatic progenitor cells and functional β-cells from hPSC ,"ユニバーシティー、ヘルス、ネットワークＵｎｉｖｅｒｓｉｔｙ Ｈｅａｌｔｈ Ｎｅｔｗｏｒｋ, ユニバーシティー、ヘルス、ネットワーク","ゴードン、ケラー, マリア、クリスティーナ、ノストロ, オードリー、ホルツィンガー, ファリダ、サランギ",2012-04-30,2018-08-30,2020-09-23,2020-09-23,https://patents.google.com/patent/JP6759293B2/en,https://patentimages.storage.googleapis.com/fb/68/1e/04d2a74adb8c26/0006759293-6.png,
JP-7021177-B2,"Artificial kidney tissue, its array, and how to make it ",オルガノボ インコーポレイテッド,"デボラ リン グリーン グエン, シェルビー マリー キング, シャロン シー． プレスネル",2014-10-06,2019-12-13,2022-02-16,2022-02-16,https://patents.google.com/patent/JP7021177B2/en,https://patentimages.storage.googleapis.com/04/73/2a/a064e789c2ec9b/0007021177000001.png,
CN-109070082-B,"Modular organ micro-physiology system with integrated pumping, leveling and sensing ",麻省理工学院,"L·格里菲思, D·L·特兰佩, C·D·埃丁顿, G·罗哈吉, D·弗雷克, L·森克森, M·B·普生",2016-02-04,2017-02-06,2021-10-15,2021-10-15,https://patents.google.com/patent/CN109070082B/en,https://patentimages.storage.googleapis.com/33/8a/bd/1a6b32a99f8c3b/HDA0001814106830000011.png,
US-11413805-B2,Bioprinter for the fabrication of tissue ,"Organovo, Inc.","Keith Murphy, Scott Dorfman, Nathan Smith, Larry Bauwens, Ian Sohn, Tim McDonald, Chris Leigh-Lancaster, Richard Jin Law",2010-10-21,2021-09-24,2022-08-16,2022-08-16,https://patents.google.com/patent/US11413805B2/en,https://patentimages.storage.googleapis.com/01/22/bb/bf76a469dbf060/US11413805-20220816-D00000.png,
AU-2016266048-B2,Antimicrobial Compounds And Methods Of Making And Using The Same ,"Melinta Therapeutics, Inc.","Ashoke Bhattacharjee, Marco Devivo, Erin M. Duffy, Zoltan F. Kanyo, Jacek G. Martinow, Hardwin O'dowd, Ik-Hyeon Paik, Matthew H. Scheideman, Sandra Sinishtaj, Brian T. Wimberly, Yusheng Wu",2009-10-16,2016-12-01,2018-07-19,2018-07-19,https://patents.google.com/patent/AU2016266048B2/en,,
US-10174276-B2,"Devices, systems, and methods for the fabrication of tissue utilizing UV cross-linking ","Organovo, Inc.","Keith Murphy, Scott Dorfman, Richard Jin Law, Vivian Anne Le",2012-04-20,2016-10-20,2019-01-08,2019-01-08,https://patents.google.com/patent/US10174276B2/en,https://patentimages.storage.googleapis.com/0d/a1/98/cb239ee09780df/US10174276-20190108-D00001.png,
US-2021398621-A1,A quantum circuit based system configured to model physical or chemical systems ,Kuano Ltd.,"Vid STOJEVIC, Matthias BAL, Andrew Green",2018-11-07,2019-11-07,2021-12-23,,https://patents.google.com/patent/US20210398621A1/en,https://patentimages.storage.googleapis.com/42/92/4d/51582c4285da4f/US20210398621A1-20211223-D00000.png,
JP-6848009-B2,Selective GRP94 Inhibitors and Their Use ,"メモリアル スローン ケタリング キャンサー センター, メモリアル  スローン  ケタリング  キャンサー  センター","チオシス ガブリエラ, チオシス ガブリエラ, ヤン ペンロン, ヤン ペンロン, パテル パラブ, パテル パラブ, ジェイ． パテル ハルディク, ジェイ．  パテル ハルディク, タルドーン トニー, タルドーン トニー, ヤン チェンフア, ヤン チェンフア, サン ウェイリン, サン ウェイリン, オー． オチアナ ステファン, オー．  オチアナ ステファン",2013-08-16,2019-06-07,2021-03-24,2021-03-24,https://patents.google.com/patent/JP6848009B2/en,https://patentimages.storage.googleapis.com/37/78/02/82d2505b9e748e/0006848009-360.png,
US-2020292555-A1,Cysteine reactive probes and uses thereof ,The Scripps Research Institute,"Benjamin F. Cravatt, Keriann M. BACKUS, Bruno E. Correia, Megan M. Blewett, John R. TEIJARO",2015-10-22,2020-06-02,2020-09-17,,https://patents.google.com/patent/US20200292555A1/en,https://patentimages.storage.googleapis.com/74/56/bb/fd58f604cfc62a/US20200292555A1-20200917-D00001.png,
US-10950327-B2,"Methods and tools for detecting, diagnosing, predicting, prognosticating, or treating a neurobehavioral phenotype in a subject ","Blackthorn Therapeutics, Inc., Yale University","John D. Murray, Alan Anticevic, William J. Martin",2017-10-02,2019-03-07,2021-03-16,2021-03-16,https://patents.google.com/patent/US10950327B2/en,https://patentimages.storage.googleapis.com/be/fe/22/77960a068ab301/US10950327-20210316-D00000.png,
US-10227567-B2,Isolation and use of solid tumor stem cells ,The Regents Of The University Of Michigan,"Michael F. Clarke, Sean J. Morrison, Max S. Wicha, Muhammad Al-Hajj",2000-08-03,2016-09-07,2019-03-12,2019-03-12,https://patents.google.com/patent/US10227567B2/en,https://patentimages.storage.googleapis.com/fe/62/ef/fe2e0d30883a1c/US10227567-20190312-D00001.png,
US-10358645-B2,Treatment of erythropoietin (EPO) related diseases by inhibition of natural antisense transcript to EPO ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman",2008-12-04,2017-08-23,2019-07-23,2019-07-23,https://patents.google.com/patent/US10358645B2/en,https://patentimages.storage.googleapis.com/16/b8/06/83fef2248ae19c/US10358645-20190723-D00001.png,
JP-6738841-B2,Treatment of BDNF-related diseases by inhibition of natural antisense transcripts for brain-derived neurotrophic factor (BDNF) ,"キュアナ，インク．, ザ スクリップス リサーチ インスティテュートＴｈｅ Ｓｃｒｉｐｐｓ Ｒｅｓｅａｒｃｈ Ｉｎｓｔｉｔｕｔｅ, ザ  スクリップス  リサーチ  インスティテュート","ファギヒ，モハマド，アリ．, コイト，カルロス",2012-03-15,2018-01-31,2020-08-12,2020-08-12,https://patents.google.com/patent/JP6738841B2/en,,
US-10413571-B2,Kidney-derived cells and methods of use in tissue repair and regeneration ,"DePuy Synthes Products, Inc.","David C. Colter, Agnieszka Seyda, Charito S. Buensuceso, Anna Gosiewska",2006-10-12,2016-08-17,2019-09-17,2019-09-17,https://patents.google.com/patent/US10413571B2/en,,
US-10993418-B2,Method for measuring tumor burden in patient derived xenograft (PDX) mice ,"Life Genetics Lab, Llc",Sudhir Sinha,2012-08-13,2018-04-30,2021-05-04,2021-05-04,https://patents.google.com/patent/US10993418B2/en,https://patentimages.storage.googleapis.com/8c/ed/20/b042ed8ac9592e/US10993418-20210504-D00001.png,
US-9902959-B2,Treatment of Frataxin (FXN) related diseases by inhibition of natural antisense transcript to FXN ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman",2011-06-09,2017-02-02,2018-02-27,2018-02-27,https://patents.google.com/patent/US9902959B2/en,https://patentimages.storage.googleapis.com/22/0f/f4/ad7c1d43cc24f3/US09902959-20180227-D00001.png,
CN-108348589-B,Therapeutic CD47 antibodies ,安驰肿瘤公司,"P·曼宁, 罗宾·普罗, 胡安·C·阿尔马格罗, 罗伯特·W·卡尔",2015-09-18,2016-09-17,2022-09-23,2022-09-23,https://patents.google.com/patent/CN108348589B/en,https://patentimages.storage.googleapis.com/f0/1f/40/afe16017af4ab7/HDA0001638265360000011.png,
US-11390865-B2,"Method for introducing site-directed RNA mutation, target editing guide RNA used in the method and target RNA-target editing guide RNA complex ",Fukuoka University,"Masatora Fukuda, Hiromitsu UMENO",2015-07-14,2016-07-14,2022-07-19,2022-07-19,https://patents.google.com/patent/US11390865B2/en,https://patentimages.storage.googleapis.com/56/4e/97/9ef6b772a17b55/US11390865-20220719-D00001.png,
US-2022167598-A1,Genetically modified rat models for severe combined immunodeficiency (scid) ,"Hera Testing Laboratories, Inc.","Eric M. Ostertag, John Stuart Crawford, Joseph Ruiz",2009-07-01,2021-12-16,2022-06-02,,https://patents.google.com/patent/US20220167598A1/en,https://patentimages.storage.googleapis.com/7e/29/ae/bac1206571dcf7/US20220167598A1-20220602-D00001.png,
US-11031098-B2,Computer systems and methods for genomic analysis ,Genetic Technologies Limited,"Nila Patil, David R. Cox, Anthony J. Berno, David A. Hinds",2001-03-30,2016-05-31,2021-06-08,2021-06-08,https://patents.google.com/patent/US11031098B2/en,https://patentimages.storage.googleapis.com/8f/14/ca/a30d99b5c68cbc/US11031098-20210608-D00001.png,
US-2021079114-A1,Therapeutic and diagnostic target for cancer comprising dll3 binding reagents ,Boehringer Ingelheim International Gmbh,Lindsey Jane Hudson,2013-02-12,2020-11-20,2021-03-18,,https://patents.google.com/patent/US20210079114A1/en,https://patentimages.storage.googleapis.com/b2/5e/84/b1bdf9d590f271/US20210079114A1-20210318-D00001.png,
US-10113198-B2,"Genetic polymorphisms associated with rheumatoid arthritis, methods of detection and uses thereof ",Celera Corporation,"Ann B. Begovich, Victoria Carlton, Steven J. Schrodi, Heather C. ALEXANDER",2003-01-30,2016-06-13,2018-10-30,2018-10-30,https://patents.google.com/patent/US10113198B2/en,https://patentimages.storage.googleapis.com/d6/fd/36/2aca795e05f659/US10113198-20181030-D00001.png,
US-10886008-B2,Methods and systems for determining the biological age of samples ,"Spring Discovery, Inc.","Ben KAMENS, Ben KOMALO, Wendy Cousin, Christian Elabd, Charlie MARSH, Lauren NICOLAISEN",2018-01-23,2019-01-23,2021-01-05,2021-01-05,https://patents.google.com/patent/US10886008B2/en,https://patentimages.storage.googleapis.com/d9/6b/14/7cf9051579c68c/US10886008-20210105-D00000.png,
JP-6297655-B2,Polycyclic compounds and methods of use thereof ,"サノビオン ファーマシューティカルズ インクＳｕｎｏｖｉｏｎ Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ Ｉｎｃ．, サノビオン  ファーマシューティカルズ  インク, ピージーアイ・ドラッグ・ディスカバリー・リミテッド・ライアビリティ・カンパニーＰｇｉ Ｄｒｕｇ Ｄｉｓｃｏｖｅｒｙ Ｌｌｃ, ピージーアイ・ドラッグ・ディスカバリー・リミテッド・ライアビリティ・カンパニー","シャオ ルイミング, シャオ ルイミング, エムメルソン カムプベルル ジョフン, エムメルソン  カムプベルル ジョフン, チャルレス ヘウイトト ミチャエル, チャルレス  ヘウイトト ミチャエル, カムプベルル ウナ, カムプベルル ウナ, ジー．ハナニア タルエエン, ジー．ハナニア タルエエン",2009-12-04,2016-09-29,2018-03-20,2018-03-20,https://patents.google.com/patent/JP6297655B2/en,,
US-10190173-B2,Recurrent gene fusions in prostate cancer ,"The Regents Of The University Of Michigan, The Brigham And Women's Hospital, Inc.","Scott Tomlins, Daniel Rhodes, Arul Chinnaiyan, Rohit Mehra, Mark A. Rubin, Xiao-Wei Sun, Sven Perner, Charles Lee, Francesca Demichelis",2005-09-12,2016-05-09,2019-01-29,2019-01-29,https://patents.google.com/patent/US10190173B2/en,https://patentimages.storage.googleapis.com/12/36/e4/7b323936fa1329/US10190173-20190129-D00001.png,
US-9663493-B2,"Pyridazine compounds, compositions and methods ","Northwestern University, Universite De Strasbourg, Centre National De La Recherche Scientifique (Cnrs)","D. Martin Watterson, Linda Van Eldik, Jacques Haiech, Marcel Hibert, Jean-Jacques Bourguignon, Anastasia Velentza, Wenhui Hu, Magdalena Zasadzki",2004-11-02,2016-06-29,2017-05-30,2017-05-30,https://patents.google.com/patent/US9663493B2/en,https://patentimages.storage.googleapis.com/0c/39/0c/da19eb9afc3d92/US09663493-20170530-D00001.png,
US-9968903-B2,"Apparatus for assay, synthesis and storage, and methods of manufacture, use, and manipulation thereof ",Life Technologies Corporation,"Robert Hess, John Linton, Tanya S. Kanigan, Colin Brenan, Can Ozbal",2000-10-10,2016-04-18,2018-05-15,2018-05-15,https://patents.google.com/patent/US9968903B2/en,https://patentimages.storage.googleapis.com/0f/41/9a/cae7f2ba1ac37f/US09968903-20180515-D00001.png,
US-11704541-B2,Graph neural network systems for generating structured representations of objects ,Deepmind Technologies Limited,"Yujia Li, Christopher James Dyer, Oriol Vinyals",2017-10-27,2018-10-29,2023-07-18,2023-07-18,https://patents.google.com/patent/US11704541B2/en,https://patentimages.storage.googleapis.com/eb/79/24/91f48dec7e034f/US11704541-20230718-D00000.png,
US-2022323649-A1,Three dimensional microtissue bioprinter ,The General Hospital Corporation,"Yonggang Pang, Brian Grottkau",2015-09-04,2022-06-29,2022-10-13,,https://patents.google.com/patent/US20220323649A1/en,https://patentimages.storage.googleapis.com/e1/e2/75/eb75d55e3057c1/US20220323649A1-20221013-D00000.png,
AU-2016331079-B2,Spontaneously beating cardiac organoid constructs and integrated body-on-chip apparatus containing the same ,Wake Forest University Health Sciences,Aleksander Skardal,2015-10-02,2016-09-30,2022-07-14,2022-07-14,https://patents.google.com/patent/AU2016331079B2/en,,
TW-I741980-B,Biological brick and its use ,大陸商四川藍光英諾生物科技股份有限公司,"裕建 康, 左瀟",2015-04-07,2016-04-06,2021-10-11,2021-10-11,https://patents.google.com/patent/TWI741980B/en,https://patentimages.storage.googleapis.com/c6/ba/1d/cce5ac12333875/105110819-A0304-14-0001-1.png,
US-10711244-B2,Mammalian neural plate border stem cells capable of forming neural tube and neural crest cell lineages including central and peripheral neurons ,MAX-PLANCK-Gesellschaft zur Förderung der Wissenschaften e.V.,"Hans R. Schoeler, Jared L. Sterneckert, Michael Glatza, Peter Reinhardt",2012-01-11,2016-08-10,2020-07-14,2020-07-14,https://patents.google.com/patent/US10711244B2/en,https://patentimages.storage.googleapis.com/e1/4b/ca/4160b342cb4f6a/US10711244-20200714-D00001.png,
JP-6704883-B2,Treatment of SIRT1-related diseases by suppression of natural antisense transcripts for sirtuin 1 (SIRT1) ,クルナ・インコーポレーテッド,"ジョゼフ・カラード, オルガ・コルコヴァ・シャーマン, カルロス・コイト, ベリンダ・デ・レオン",2009-03-04,2017-09-13,2020-06-03,2020-06-03,https://patents.google.com/patent/JP6704883B2/en,,
US-9920322-B2,Treatment of vascular endothelial growth factor (VEGF) related diseases by inhibition of natural antisense transcript to VEGF ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman",2008-12-04,2016-08-05,2018-03-20,2018-03-20,https://patents.google.com/patent/US9920322B2/en,https://patentimages.storage.googleapis.com/8d/a0/07/c2d719cf944880/US09920322-20180320-D00001.png,
JP-6894230-B2,Treatment of brain-derived neurotrophic factor (BDNF) -related disease by suppressing natural antisense transcripts against BDNF ,クルナ・インコーポレーテッド,"ジョゼフ・カラード, オルガ・コルコヴァ・シャーマン, カルロス・コイト",2009-02-12,2016-12-22,2021-06-30,2021-06-30,https://patents.google.com/patent/JP6894230B2/en,https://patentimages.storage.googleapis.com/79/3b/e3/1e7bcb968a3df0/0006894230-3.png,
US-9895373-B2,"Substituted pyrazolo[3,4-D]pyrimidines and uses thereof ","The Regents Of The University Of California, Icahn School Of Medicine At Mount Sinai","Arvin C. Dar, Tirtha K. Das, Martin Sos, Trever G. Bivona, Kevan M. Shokat, Ross L. Cagan",2011-09-02,2016-03-23,2018-02-20,2018-02-20,https://patents.google.com/patent/US9895373B2/en,https://patentimages.storage.googleapis.com/99/57/39/e562f4936ad149/US09895373-20180220-D00001.png,
US-2020370018-A1,Culture medium composition for maturating cardiomyocytes derived from pluripotent mammalian stem cells ,Ncardia B.V.,Stefan Robbert Braam,2013-06-11,2020-06-11,2020-11-26,,https://patents.google.com/patent/US20200370018A1/en,https://patentimages.storage.googleapis.com/5f/09/3e/2e79b15cdb5eee/US20200370018A1-20201126-D00001.png,
US-10465192-B2,Treatment of delta-like 1 homolog (DLK1) related diseases by inhibition of natural antisense transcript to DLK1 ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman, Carlos COITO",2009-03-17,2017-11-06,2019-11-05,2019-11-05,https://patents.google.com/patent/US10465192B2/en,https://patentimages.storage.googleapis.com/a3/c5/66/8197e962413aed/US10465192-20191105-D00001.png,
US-2022411390-A1,Modulation of bacterial quorum sensing with synthetic ligands ,Wisconsin Alumni Research Foundation,"Helen E. Blackwell, Grant D. Geske, Jennifer C. Campbell Butler",2007-03-19,2022-01-24,2022-12-29,,https://patents.google.com/patent/US20220411390A1/en,https://patentimages.storage.googleapis.com/fa/d0/03/1ca42bcf38499f/US20220411390A1-20221229-D00001.png,
JP-6385966-B2,Novel kinase modulator ,ライゼン・ファーマシューティカルズ・エスアー,"メヤパン・ムサパラニアパン, シュリカント・ヴィスワナダ, ゴヴィンダラジュル・バブー, スワループ・クマール・ヴイ・エス・ヴァッカランカ",2009-11-05,2016-02-17,2018-09-05,2018-09-05,https://patents.google.com/patent/JP6385966B2/en,,
AU-2016201730-B2,Identification and enrichment of cell subpopulations ,Abbvie Stemcentrx Llc,"Wade C. Anderson, Scott J. Dylla, Marianne Santaguida",2010-09-03,2016-03-18,2018-01-25,2018-01-25,https://patents.google.com/patent/AU2016201730B2/en,,
US-11629329-B2,Bioink compositions and methods of preparing and using the same ,Wake Forest University Health Sciences,Aleksander Skardal,2017-10-11,2018-10-10,2023-04-18,2023-04-18,https://patents.google.com/patent/US11629329B2/en,https://patentimages.storage.googleapis.com/fd/bc/dc/cbf59962b5ead5/US11629329-20230418-D00000.png,
US-11615288-B2,Secure broker-mediated data analysis and prediction ,"Imec Vzw, Janssen Pharmaceutica Nv, Katholieke Universiteit Leuven","Hugo Ceulemans, Roel Wuyts, Wilfried Verachtert, Jaak Simm, Adam Arany, Yves MOREAU, Charlotte Herzeel",2017-10-02,2018-10-01,2023-03-28,2023-03-28,https://patents.google.com/patent/US11615288B2/en,https://patentimages.storage.googleapis.com/20/10/d4/0af5e7c30003bf/US11615288-20230328-D00000.png,
CN-107208102-B,"Recombinant HBV CCcDNA, method for producing same and use thereof ",豪夫迈·罗氏有限公司,"高璐, 胡慧, 阎志鹏, 向昆仑, 于有军, 曾晶",2015-01-27,2016-01-25,2021-07-06,2021-07-06,https://patents.google.com/patent/CN107208102B/en,https://patentimages.storage.googleapis.com/c2/76/93/bd72d6cec1598e/HDA0001361150380000011.png,
US-11319527-B2,"Methods of maintaining, expanding, and differentiating neuronal subtype specific progenitors ",Wisconsin Alumni Research Foundation,"Su-Chun Zhang, Zhongwei Du",2013-03-01,2019-11-19,2022-05-03,2022-05-03,https://patents.google.com/patent/US11319527B2/en,https://patentimages.storage.googleapis.com/d5/0b/5f/427029a9284bb6/US11319527-20220503-D00001.png,
US-11718877-B2,Methods for use in the diagnosis of autoimmune diseases ,The Children's Hospital Of Philadelphia,"Hakon Hakonarson, Yun Rose Li, Brendan KEATING",2015-08-21,2019-08-20,2023-08-08,2023-08-08,https://patents.google.com/patent/US11718877B2/en,https://patentimages.storage.googleapis.com/f2/c6/cf/8e9a73cbc6baba/US11718877-20230808-D00001.png,
US-9969974-B2,Differntiation method for production of glial cell population ,Case Western Reserve University,"Paul J. Tesar, Robert H. Miller, Fadi J. Najm",2010-10-26,2015-11-23,2018-05-15,2018-05-15,https://patents.google.com/patent/US9969974B2/en,https://patentimages.storage.googleapis.com/da/ab/e1/ac835d8205bde0/US09969974-20180515-D00000.png,
US-10995334-B2,Treatment of nuclear factor (erythroid-derived 2)-like 2 (NRF2) related diseases by inhibition of natural antisense transcript to NRF2 ,Curna Inc.,"Joseph Collard, Olga Khorkova Sherman, Carlos COITO",2009-03-16,2016-09-20,2021-05-04,2021-05-04,https://patents.google.com/patent/US10995334B2/en,https://patentimages.storage.googleapis.com/02/e4/34/11b647d98fe944/US10995334-20210504-D00001.png,
US-2022403034-A1,Integrin beta7 antagonists and methods of treating crohn's disease ,"Genentech, Inc.","Azra Hassanali, Romeo Maciuca, Meina Tao Tang, Swati Tole, Xiaohui Wei",2015-02-26,2022-02-03,2022-12-22,,https://patents.google.com/patent/US20220403034A1/en,https://patentimages.storage.googleapis.com/fb/df/e1/8ada02d1949885/US20220403034A1-20221222-D00001.png,
US-2022195439-A1,Treatment of glial cell derived neurotrophic factor (gdnf) related diseases by inhibition of natural antisense transcript to gdnf ,"Curna, Inc.","Joseph Collard, Olga Khorkova Sherman, Carlos COITO",2009-02-12,2021-12-10,2022-06-23,,https://patents.google.com/patent/US20220195439A1/en,https://patentimages.storage.googleapis.com/a8/b2/a3/3dd0e616bb82bb/US20220195439A1-20220623-D00001.png,
JP-7275196-B2,Culture medium for stem cells ,コーニンクレッカ ネザーランド アカデミー ヴァン ウェテンシャッペン,"ヨハネス カロルス クレヴァース, 俊朗 佐藤, オルテガ メリチェル ハイヒ, ワウター リシャルト カールタウス",2011-06-10,2021-05-20,2023-05-17,2023-05-17,https://patents.google.com/patent/JP7275196B2/en,https://patentimages.storage.googleapis.com/88/f1/5c/2fab06a724c779/0007275196000012.png,
US-9598400-B2,Substituted quinoline compounds and methods of use ,"Calitor Sciences, Llc, Sunshine Lake Pharma Co., Ltd.",Ning Xi,2011-02-28,2015-08-12,2017-03-21,2017-03-21,https://patents.google.com/patent/US9598400B2/en,https://patentimages.storage.googleapis.com/e2/40/8d/9d724335ebc514/US09598400-20170321-D00001.png,
US-2021117815-A1,Attention filtering for multiple instance learning ,Benevolentai Technology Limited,"Paidi CREED, Aaron Jefferson Khey Jin SIM, Stephen Thomas Spencer, Mikko Juhani VILENIUS",2018-03-29,2019-03-29,2021-04-22,,https://patents.google.com/patent/US20210117815A1/en,https://patentimages.storage.googleapis.com/81/ba/23/7bce0bde2428b2/US20210117815A1-20210422-D00000.png,
